,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
hamilton,13.236929,11.586872,11.239656,11.457844,11.519011,11.5008135,11.669763,11.408751,11.400724,11.442347,11.469067,11.381065,11.327099,11.329172,11.33272,11.303438,11.708408,12.883308,11.024178,11.015614,11.040222,11.006136,11.076949,11.125504,11.149042,11.167919,11.170742,11.1746235,11.176364,11.167473,11.154158,11.134449,11.100716,11.057632,11.58393,12.857086,10.958118,10.948025,10.977133,10.9720745,10.972914,10.954884,10.954552,10.949553,10.955292,10.947687,10.935989,10.932243,10.931206,10.952342,10.997845,11.0784445,11.106662,11.082741,11.04985,11.029018,11.015265,11.006399
alonso,11.5138445,10.643091,10.55653,10.525526,10.717768,10.698049,10.787884,10.666526,10.681189,10.711193,10.698019,10.66238,10.6805525,10.649485,10.604185,10.563164,10.989271,12.283223,10.165634,10.2186775,10.254116,10.281425,10.238892,10.256077,10.291581,10.324654,10.351295,10.381228,10.395945,10.391464,10.379932,10.369462,10.358681,10.351674,10.35314,10.343004,10.353704,10.370007,10.370533,10.360046,10.348507,10.343231,10.34786,10.364238,10.391046,10.420687,10.448854,10.4756775,10.499174,10.51935,10.537695,10.556204,10.576141,10.59782,10.620461,10.642349,10.661491,10.675591
hulkenberg,12.061314,11.071789,10.935555,11.016859,11.162426,11.145447,11.353586,11.15579,11.141032,12.1668415,15.594057,10.97555,10.690028,11.063925,10.977489,10.878063,10.842497,10.847702,10.870002,10.928947,10.978219,10.996363,10.979579,10.957583,10.951401,10.939377,10.923988,10.916328,10.9156065,10.911855,10.92745,10.9311695,10.908585,10.882555,10.854721,10.822322,10.802872,10.836344,10.867978,10.868311,10.843536,10.798346,10.738345,10.6851225,10.64913,10.6324,10.628826,10.632272,10.639881,10.649218,10.659109,10.669027,10.678495,10.687669,10.696782,10.706057,10.716009,10.726669
max_verstappen,12.255291,10.755194,10.678192,10.729994,10.844572,10.811369,11.059656,10.820459,10.810445,10.928696,10.923853,10.810505,10.831316,10.821748,10.80158,10.744387,11.14767,12.292774,10.487032,10.447954,10.449949,10.427053,10.522423,10.550899,10.555273,10.578605,10.593122,10.607016,10.612658,10.597437,10.5648365,10.527687,10.490902,10.47393,10.790953,12.551279,10.435411,10.36442,10.389948,10.403873,10.379733,10.378044,10.386985,10.395946,10.414099,10.430248,10.439809,10.45867,10.463135,10.476955,10.466989,10.459194,10.441233,10.438534,10.452001,10.4693365,10.490961,10.511839
sainz,11.034279,10.157258,10.115839,9.972627,10.151345,10.105006,10.137367,10.057446,10.07892,10.0879,10.119236,10.13851,10.118082,10.061652,10.014755,9.980306,10.447431,11.659285,9.696278,9.770753,9.77553,9.769966,9.776953,9.749664,9.775042,9.810253,9.832911,9.859365,9.871742,9.869955,9.863428,9.8580065,9.854734,9.867033,9.8876505,9.901835,9.896923,9.875492,9.857653,9.85253,9.860472,9.878784,9.90324,9.929911,9.958699,9.986259,10.010279,10.0308895,10.050428,10.071258,10.094522,10.120356,10.147636,10.1741705,10.197073,10.213724,10.221796,10.219885
ocon,11.323557,10.449385,10.363237,10.282593,10.473484,10.458378,10.509985,10.421659,10.431216,10.442327,10.456097,10.4534445,10.452349,10.408091,10.361564,10.324329,10.7629795,12.019019,9.969262,10.041523,10.037291,9.910414,9.970895,9.993836,10.01189,10.038231,10.058596,10.0707035,10.075071,10.072699,10.062929,10.060336,10.071414,10.084602,10.436956,11.93174,10.144426,10.144665,10.116747,10.162802,10.158224,10.148873,10.130199,10.134987,10.155797,10.168774,10.151394,10.122592,10.093231,10.101456,10.118531,10.144142,10.175426,10.205134,10.232306,10.255306,10.277187,10.300892
stroll,11.009894,10.155673,10.109701,9.966534,10.145703,10.09959,10.124793,10.048943,10.072973,10.078873,10.111452,10.133577,10.1086,10.050297,10.005251,9.9741955,10.449449,11.626408,9.702812,9.776919,9.774895,9.761046,9.772899,9.742056,9.765257,9.802225,9.825264,9.852297,9.864463,9.863097,9.85751,9.85335,9.852827,9.870422,9.890761,9.902131,9.892289,9.870137,9.854839,9.853612,9.864201,9.883693,9.907796,9.934172,9.962919,9.989279,10.01214,10.032003,10.051615,10.073042,10.097249,10.123904,10.151548,10.177706,10.199438,10.2143,10.22002,10.215725
gasly,11.416616,10.527182,10.43056,10.368949,10.553883,10.546692,10.612658,10.512693,10.522093,10.541289,10.548556,10.535878,10.541544,10.5011425,10.454374,10.4170685,10.848008,12.081311,10.054236,10.1155405,10.109665,9.984634,10.053392,10.0779295,10.09672,10.123786,10.144865,10.156885,10.160487,10.15626,10.14432,10.138462,10.144235,10.156928,10.499824,11.9976015,10.230904,10.2086525,10.172995,10.236383,10.229521,10.219795,10.205271,10.21261,10.235548,10.247377,10.227779,10.196883,10.164498,10.1735325,10.187325,10.213106,10.244447,10.274859,10.302614,10.325541,10.347033,10.369822
leclerc,11.072047,10.163567,10.123714,9.985751,10.170235,10.13085,10.171976,10.089731,10.102957,10.115616,10.144262,10.154464,10.143801,10.091855,10.041806,10.002727,10.4647665,11.718086,9.70069,9.766504,9.784063,9.796776,9.799288,9.7763195,9.803392,9.836494,9.858197,9.884293,9.897189,9.894697,9.886597,9.879404,9.873425,9.878305,9.892988,9.9070015,9.911741,9.895892,9.876606,9.864891,9.86599,9.879209,9.902157,9.929686,9.958674,9.987812,10.01446,10.036837,10.056574,10.076328,10.097678,10.121539,10.147526,10.174058,10.198677,10.218695,10.2317295,10.235535
norris,11.007425,10.120974,10.083607,9.936863,10.119778,10.077532,10.111475,10.032768,10.049923,10.05909,10.090317,10.106895,10.090345,10.035316,9.986525,9.949577,10.416206,11.762879,9.630758,9.716223,9.723612,9.605032,9.657049,9.671113,9.677991,9.69802,9.714612,9.725063,9.73197,9.733374,9.728876,9.73477,9.754762,9.760765,10.1376,11.679416,9.806763,9.844046,9.807526,9.840946,9.842843,9.830237,9.80788,9.807644,9.825002,9.841047,9.826081,9.802184,9.78293,9.785915,9.809117,9.834471,9.866795,9.896145,9.922727,9.946633,9.97004,9.995926
russell,10.907925,10.041757,10.011988,9.851529,10.024372,9.977089,10.004131,9.928888,9.955175,9.96055,9.995659,10.018731,9.994926,9.935393,9.887833,9.854409,10.332027,11.67433,9.548335,9.640671,9.645384,9.535908,9.578016,9.588751,9.593305,9.612955,9.629127,9.640183,9.6487255,9.652664,9.652249,9.6647,9.683468,9.683029,10.07176,11.58342,9.716501,9.772045,9.744141,9.761112,9.764648,9.751768,9.729719,9.726563,9.742068,9.760092,9.747887,9.726402,9.711956,9.712878,9.738681,9.764175,9.796696,9.825594,9.851662,9.875774,9.899641,9.926171
